,date,open,high,low,close,volume,ema_9,ema_21,ema_55,ema_200,supertrend,cross_9_21,cross_9_55,cross_21_55,cross_21_200,cross_55_200,cross_price_9,cross_price_21,cross_price_55,cross_price_200,sup_signal,event,final_signal
78,2023-03-30 22:31:00,6100.0,6100.0,6099.0,6100.0,5.0,6100.548984531612,6100.543864234641,6101.103474283954,,6096.075668425112,green,no,red,no,no,red,no,no,no,green,NA,NA
79,2023-03-30 22:32:00,6100.0,6100.0,6097.0,6098.0,10.0,6100.03918762529,6100.312603849673,6100.992635916669,,6096.075668425112,red,no,red,no,no,red,no,no,no,green,NA,NA
80,2023-03-30 22:33:00,6099.0,6101.0,6099.0,6099.0,6.0,6099.831350100232,6100.193276226975,6100.921470348217,,6096.075668425112,red,no,red,no,no,red,no,no,no,green,NA,NA
81,2023-03-30 22:34:00,6099.0,6099.0,6099.0,6099.0,2.0,6099.665080080185,6100.084796569978,6100.852846407209,,6096.075668425112,red,no,red,no,no,red,no,no,no,green,NA,NA
82,2023-03-30 22:35:00,6099.0,6099.0,6095.0,6095.0,8.0,6098.732064064148,6099.622542336343,6100.64381617838,,6106.176053831331,red,no,red,no,no,red,no,no,no,red,WHEN SUPERTREND SIGNAL CHANGED TO RED,sell
83,2023-03-30 22:36:00,6096.0,6096.0,6092.0,6094.0,13.0,6097.785651251319,6099.111402123948,6100.406537029152,,6103.458448448198,red,no,red,no,no,red,no,no,no,red,NA,NA
84,2023-03-30 22:37:00,6094.0,6095.0,6090.0,6090.0,11.0,6096.228521001055,6098.283092839953,6100.034874992396,,6102.512603603378,red,no,red,no,no,red,no,no,no,red,NA,NA
85,2023-03-30 22:38:00,6090.0,6092.0,6088.0,6089.0,14.0,6094.782816800844,6097.439175309048,6099.6407723140965,,6100.211343243041,red,no,red,no,no,red,no,no,no,red,NA,NA
86,2023-03-30 22:39:00,6088.0,6092.0,6087.0,6091.0,16.0,6094.026253440675,6096.853795735497,6099.332173302879,,6100.190208918736,red,no,red,no,no,red,no,no,no,red,NA,NA
87,2023-03-30 22:40:00,6091.0,6095.0,6091.0,6093.0,20.0,6093.82100275254,6096.503450668634,6099.106024256347,,6100.190208918736,red,no,red,no,no,red,no,no,no,red,NA,NA
88,2023-03-30 22:41:00,6093.0,6096.0,6093.0,6096.0,5.0,6094.256802202032,6096.457682426031,6098.995094818621,,6100.190208918736,red,no,red,no,no,green,no,no,no,red,NA,NA
89,2023-03-30 22:42:00,6096.0,6098.0,6094.0,6097.0,14.0,6094.805441761626,6096.506984023665,6098.923841432242,,6100.190208918736,red,no,red,no,no,green,no,no,no,red,NA,NA
90,2023-03-30 22:43:00,6097.0,6098.0,6097.0,6098.0,6.0,6095.444353409301,6096.642712748786,6098.890847095376,,6100.190208918736,red,no,red,no,no,green,no,no,no,red,NA,NA
91,2023-03-30 22:44:00,6097.0,6098.0,6097.0,6098.0,7.0,6095.9554827274405,6096.7661024988965,6098.859031127684,,6100.190208918736,red,no,red,no,no,green,no,no,no,red,NA,NA
92,2023-03-30 22:45:00,6098.0,6098.0,6092.0,6092.0,10.0,6095.164386181952,6096.332820453542,6098.614065730267,,6100.190208918736,red,no,red,no,no,red,no,no,no,red,NA,NA
93,2023-03-30 22:46:00,6093.0,6094.0,6093.0,6094.0,5.0,6094.931508945561,6096.120745866856,6098.449277668471,,6100.190208918736,red,no,red,no,no,red,no,no,no,red,NA,NA
94,2023-03-30 22:47:00,6093.0,6095.0,6092.0,6095.0,6.0,6094.945207156449,6096.01885987896,6098.326089180311,,6100.190208918736,red,no,red,no,no,green,no,no,no,red,NA,NA
