id,date,open,high,low,close,volume,ema_9,ema_21,ema_55,ema_200,supertrend,cross_9_21,cross_9_55,cross_21_55,cross_21_200,cross_55_200,cross_price_9,cross_price_21,cross_price_55,cross_price_200,sup_signal,event,final_signal
550,31-03-2023 16:01,6146,6146,6144,6145,8,6143.828817,6141.208824,6132.262284,6116.095755,6136.065143,green,no,green,green,no,green,green,green,green,green,NA,NA
551,31-03-2023 16:02,6144,6146,6143,6144,13,6143.863054,6141.462567,6132.681488,6116.37341,6136.065143,green,no,green,green,no,green,green,green,green,green,NA,NA
552,31-03-2023 16:03,6144,6146,6143,6143,7,6143.690443,6141.602334,6133.050007,6116.638351,6136.065143,green,no,green,green,no,red,green,green,green,green,NA,NA
553,31-03-2023 16:04,6143,6144,6142,6143,13,6143.552354,6141.729394,6133.405364,6116.900656,6136.065143,green,no,green,green,no,red,green,green,green,green,NA,NA
554,31-03-2023 16:05,6144,6147,6143,6146,16,6144.041883,6142.117631,6133.855172,6117.190201,6136.065143,green,no,green,green,no,green,green,green,green,green,NA,NA
555,31-03-2023 16:06,6145,6153,6145,6152,30,6145.633507,6143.016028,6134.503202,6117.536568,6137.231763,green,no,green,green,no,green,green,green,green,green,NA,NA
556,31-03-2023 16:07,6149,6151,6148,6151,15,6146.706805,6143.741844,6135.092373,6117.869537,6137.708586,green,no,green,green,no,green,green,green,green,green,NA,NA
557,31-03-2023 16:08,6152,6154,6151,6153,14,6147.965444,6144.583495,6135.731931,6118.219094,6140.987728,green,no,green,green,no,green,green,green,green,green,NA,NA
558,31-03-2023 16:09,6152,6155,6151,6153,16,6148.972355,6145.348631,6136.348648,6118.565173,6141.438955,green,no,green,green,no,green,green,green,green,green,NA,NA
559,31-03-2023 16:10,6152,6154,6152,6154,11,6149.977884,6146.135119,6136.979053,6118.917758,6141.995059,green,no,green,green,no,green,green,green,green,green,NA,NA
560,31-03-2023 16:11,6153,6162,6153,6159,30,6151.782308,6147.304654,6137.765516,6119.316586,6144.895554,green,no,green,green,no,green,green,green,green,green,NA,NA
561,31-03-2023 16:12,6159,6159,6153,6155,36,6152.425846,6148.004231,6138.381033,6119.671645,6144.895554,green,no,green,green,no,green,green,green,green,green,NA,NA
562,31-03-2023 16:13,6155,6157,6155,6157,13,6153.340677,6148.822028,6139.045996,6120.043071,6144.895554,green,no,green,green,no,green,green,green,green,green,NA,NA
563,31-03-2023 16:14,6155,6155,6150,6153,10,6153.272541,6149.201844,6139.544353,6120.371001,6144.895554,green,no,green,green,no,red,green,green,green,green,NA,NA
564,31-03-2023 16:15,6154,6156,6153,6155,21,6153.618033,6149.728949,6140.096341,6120.715568,6144.895554,green,no,green,green,no,green,green,green,green,green,NA,NA
565,31-03-2023 16:16,6155,6157,6155,6157,17,6154.294427,6150.389954,6140.700043,6121.076607,6144.895554,green,no,green,green,no,green,green,green,green,green,NA,NA
566,31-03-2023 16:17,6157,6159,6155,6156,21,6154.635541,6150.899958,6141.24647,6121.424104,6144.895554,green,no,green,green,no,green,green,green,green,green,NA,NA
567,31-03-2023 16:18,6156,6159,6155,6159,17,6155.508433,6151.636325,6141.880525,6121.797993,6144.895554,green,no,green,green,no,green,green,green,green,green,NA,NA
568,31-03-2023 16:19,6158,6159,6155,6156,11,6155.606746,6152.033023,6142.384791,6122.138312,6144.895554,green,no,green,green,no,green,green,green,green,green,NA,NA
569,31-03-2023 16:20,6157,6157,6154,6155,12,6155.485397,6152.302748,6142.835335,6122.465294,6144.895554,green,no,green,green,no,red,green,green,green,green,NA,NA
570,31-03-2023 16:21,6155,6160,6154,6160,11,6156.388318,6153.002498,6143.448358,6122.838773,6144.895554,green,no,green,green,no,green,green,green,green,green,NA,NA
571,31-03-2023 16:22,6159,6163,6159,6160,18,6157.110654,6153.638635,6144.039488,6123.208537,6148.611497,green,no,green,green,no,green,green,green,green,green,NA,NA
572,31-03-2023 16:23,6160,6160,6159,6159,9,6157.488523,6154.126032,6144.573792,6123.564671,6148.611497,green,no,green,green,no,green,green,green,green,green,NA,NA
573,31-03-2023 16:24,6159,6160,6157,6159,16,6157.790819,6154.56912,6145.089014,6123.917261,6148.611497,green,no,green,green,no,green,green,green,green,green,NA,NA
574,31-03-2023 16:25,6160,6161,6159,6160,18,6158.232655,6155.062836,6145.621549,6124.276293,6149.315781,green,no,green,green,no,green,green,green,green,green,NA,NA
575,31-03-2023 16:26,6159,6162,6159,6159,8,6158.386124,6155.42076,6146.099351,6124.621803,6149.984203,green,no,green,green,no,green,green,green,green,green,NA,NA
576,31-03-2023 16:27,6160,6160,6158,6159,19,6158.508899,6155.746146,6146.560089,6124.963875,6149.984203,green,no,green,green,no,green,green,green,green,green,NA,NA
577,31-03-2023 16:28,6158,6160,6158,6159,11,6158.607119,6156.04195,6147.004371,6125.302542,6149.984203,green,no,green,green,no,green,green,green,green,green,NA,NA
578,31-03-2023 16:29,6159,6162,6159,6161,9,6159.085695,6156.492682,6147.504215,6125.657741,6150.907984,green,no,green,green,no,green,green,green,green,green,NA,NA
579,31-03-2023 16:30,6161,6163,6161,6162,15,6159.668556,6156.993347,6148.021922,6126.019356,6152.767186,green,no,green,green,no,green,green,green,green,green,NA,NA
580,31-03-2023 16:31,6162,6162,6158,6159,18,6159.534845,6157.17577,6148.413996,6126.347521,6152.767186,green,no,green,green,no,red,green,green,green,green,NA,NA
581,31-03-2023 16:32,6159,6162,6158,6160,23,6159.627876,6157.432519,6148.827782,6126.682372,6152.767186,green,no,green,green,no,green,green,green,green,green,NA,NA
582,31-03-2023 16:33,6159,6161,6158,6161,15,6159.902301,6157.756835,6149.262504,6127.023841,6152.767186,green,no,green,green,no,green,green,green,green,green,NA,NA
583,31-03-2023 16:34,6160,6162,6160,6161,9,6160.121841,6158.051668,6149.6817,6127.361912,6152.767186,green,no,green,green,no,green,green,green,green,green,NA,NA
584,31-03-2023 16:35,6161,6170,6158,6167,26,6161.497473,6158.865153,6150.300211,6127.756321,6152.767186,green,no,green,green,no,green,green,green,green,green,NA,NA
585,31-03-2023 16:36,6168,6168,6163,6165,27,6162.197978,6159.422866,6150.825203,6128.126905,6153.215296,green,no,green,green,no,green,green,green,green,green,NA,NA
586,31-03-2023 16:37,6165,6166,6163,6165,15,6162.758382,6159.929878,6151.331446,6128.493801,6153.215296,green,no,green,green,no,green,green,green,green,green,NA,NA
587,31-03-2023 16:38,6164,6165,6161,6161,12,6162.406706,6160.027162,6151.676752,6128.817246,6153.215296,green,no,green,green,no,red,green,green,green,green,NA,NA
588,31-03-2023 16:39,6160,6161,6158,6160,21,6161.925365,6160.024693,6151.97401,6129.127522,6153.215296,green,no,green,green,no,red,red,green,green,green,NA,NA
589,31-03-2023 16:40,6159,6160,6153,6156,23,6160.740292,6159.658812,6152.117796,6129.39491,6153.215296,green,no,green,green,no,red,red,green,green,green,NA,NA
590,31-03-2023 16:41,6156,6158,6154,6158,18,6160.192233,6159.508011,6152.327874,6129.679538,6153.215296,green,no,green,green,no,red,red,green,green,green,NA,NA
591,31-03-2023 16:42,6156,6158,6155,6156,16,6159.353787,6159.189101,6152.459022,6129.941433,6153.215296,green,no,green,green,no,red,red,green,green,green,NA,NA
592,31-03-2023 16:43,6156,6161,6156,6158,18,6159.083029,6159.081001,6152.656914,6130.220622,6153.215296,green,no,green,green,no,red,red,green,green,green,NA,NA
593,31-03-2023 16:44,6158,6163,6158,6161,7,6159.466424,6159.255455,6152.954881,6130.526885,6153.215296,green,no,green,green,no,green,green,green,green,green,NA,NA
594,31-03-2023 16:45,6160,6161,6160,6161,6,6159.773139,6159.41405,6153.242207,6130.8301,6153.215296,green,no,green,green,no,green,green,green,green,green,NA,NA
